Application;Moyenne
Instagram;1648
YouTube;427
Snapchat;391
Netflix;376
Clash Royale;240
Safari;140
WhatsApp;130
ChatGPT;127
Spotify;124
Hinge;62
Google Maps;43
LinkedIn;26
Photos;26
