Application;Moyenne
Instagram;1034
Clash Royale;335
Netflix;332
YouTube;250
Snapchat;248
Safari;163
Spotify;136
WhatsApp;108
ChatGPT;94
Hinge;75
AliExpress;50
Mobile CFF;36
LinkedIn;33
